,Data,pelo menos uma dose,esquema vacinal completo
0,18/01/21,0.0,0.0
1,19/01/21,0.0,0.0
2,20/01/21,0.4,0.0
3,21/01/21,0.7,0.0
4,22/01/21,1.0,0.0
5,23/01/21,1.0,0.0
6,24/01/21,1.0,0.0
7,25/01/21,1.1,0.0
8,26/01/21,1.4,0.0
9,27/01/21,1.6,0.0
10,28/01/21,1.8,0.0
11,29/01/21,2.0,0.0
12,30/01/21,2.1,0.0
13,31/01/21,2.1,0.0
14,01/02/21,2.2,0.0
15,02/02/21,2.3,0.0
16,03/02/21,2.5,0.0
17,04/02/21,2.6,0.0
18,05/02/21,2.8,0.0
19,06/02/21,2.9,0.0
20,07/02/21,2.9,0.0
21,08/02/21,3.0,0.0
22,09/02/21,3.2,0.0
23,10/02/21,3.6,0.0
24,11/02/21,4.0,0.1
25,12/02/21,4.4,0.2
26,13/02/21,4.5,0.2
27,14/02/21,4.5,0.2
28,15/02/21,4.6,0.2
29,16/02/21,4.7,0.3
30,17/02/21,4.8,0.5
31,18/02/21,5.0,0.7
32,19/02/21,5.1,0.9
33,20/02/21,5.2,1.0
34,21/02/21,5.2,1.0
35,22/02/21,5.2,1.1
36,23/02/21,5.3,1.2
37,24/02/21,5.4,1.3
38,25/02/21,5.4,1.3
39,26/02/21,5.6,1.4
40,27/02/21,5.8,1.4
41,28/02/21,5.8,1.4
42,01/03/21,6.1,1.5
43,02/03/21,6.4,1.5
44,03/03/21,6.6,1.6
45,04/03/21,6.8,1.7
46,05/03/21,6.9,1.8
47,06/03/21,6.9,1.9
48,07/03/21,6.9,1.9
49,08/03/21,7.0,2.0
50,09/03/21,7.1,2.2
51,10/03/21,7.1,2.5
52,11/03/21,7.2,2.9
53,12/03/21,7.6,3.1
54,13/03/21,7.9,3.2
55,14/03/21,8.0,3.2
56,15/03/21,8.4,3.3
57,16/03/21,8.7,3.4
58,17/03/21,9.0,3.6
59,18/03/21,9.1,3.7
60,19/03/21,9.7,3.7
61,20/03/21,10.3,3.8
62,21/03/21,10.3,3.8
63,22/03/21,10.8,3.8
64,23/03/21,11.3,3.9
65,24/03/21,12.2,3.9
66,25/03/21,13.0,4.0
67,26/03/21,13.8,4.0
68,27/03/21,14.7,4.0
69,28/03/21,14.7,4.0
70,29/03/21,15.7,4.1
71,30/03/21,16.7,4.1
72,31/03/21,17.6,4.1
73,01/04/21,18.3,4.2
74,02/04/21,18.4,4.2
75,03/04/21,19.1,4.2
76,04/04/21,19.2,4.2
77,05/04/21,19.9,4.3
78,06/04/21,20.6,4.4
79,07/04/21,20.9,4.5
80,08/04/21,21.3,4.7
81,09/04/21,21.6,5.0
82,10/04/21,22.2,5.2
83,11/04/21,22.2,5.2
84,12/04/21,22.7,5.6
85,13/04/21,23.1,5.9
86,14/04/21,23.3,6.2
87,15/04/21,23.5,6.6
88,16/04/21,23.7,7.1
89,17/04/21,24.3,7.4
90,18/04/21,24.4,7.4
91,19/04/21,25.0,8.0
92,20/04/21,25.4,8.8
93,21/04/21,25.6,8.9
94,22/04/21,25.8,9.8
95,23/04/21,26.1,10.5
96,24/04/21,26.5,10.9
97,25/04/21,26.5,10.9
98,26/04/21,26.8,11.5
99,27/04/21,27.1,12.0
100,28/04/21,27.2,12.2
101,29/04/21,27.3,12.4
102,30/04/21,27.4,12.5
103,01/05/21,27.6,12.5
104,02/05/21,27.6,12.5
105,03/05/21,28.0,12.6
106,04/05/21,28.4,12.7
107,05/05/21,28.9,13.0
108,06/05/21,29.6,13.1
109,07/05/21,30.3,13.2
110,08/05/21,30.7,13.2
111,09/05/21,30.7,13.2
112,10/05/21,31.3,13.3
113,11/05/21,31.8,13.6
114,12/05/21,32.3,13.8
115,13/05/21,32.8,13.9
116,14/05/21,33.2,14.1
117,15/05/21,33.4,14.6
118,16/05/21,33.4,14.6
119,17/05/21,33.8,15.0
120,18/05/21,34.2,15.3
121,19/05/21,34.6,15.4
122,20/05/21,34.9,16.5
123,21/05/21,35.2,17.2
124,22/05/21,35.3,17.4
125,23/05/21,35.3,17.4
126,24/05/21,35.5,17.8
127,25/05/21,35.9,18.1
128,26/05/21,36.3,18.3
129,27/05/21,36.7,18.5
130,28/05/21,37.2,18.7
131,29/05/21,37.5,18.7
132,30/05/21,37.5,18.7
133,31/05/21,37.9,18.8
134,01/06/21,38.6,19.0
135,02/06/21,39.3,19.2
136,03/06/21,39.5,19.2
137,04/06/21,39.9,19.3
138,05/06/21,40.3,19.3
139,06/06/21,40.3,19.3
140,07/06/21,41.2,19.4
141,08/06/21,42.2,19.4
142,09/06/21,43.0,19.4
143,10/06/21,43.9,19.5
144,11/06/21,44.7,19.5
145,12/06/21,45.3,19.5
146,13/06/21,45.4,19.5
147,14/06/21,46.4,19.5
148,15/06/21,47.5,19.6
149,16/06/21,48.3,19.6
150,17/06/21,49.2,19.7
151,18/06/21,49.9,19.7
152,19/06/21,50.4,20.3
153,20/06/21,50.4,20.3
154,21/06/21,51.1,20.6
155,22/06/21,51.8,20.8
156,23/06/21,52.2,21.0
157,24/06/21,52.5,21.1
158,25/06/21,52.9,21.3
159,26/06/21,53.7,21.5
160,27/06/21,53.8,21.5
161,28/06/21,54.7,21.9
162,29/06/21,55.5,22.2
163,30/06/21,56.0,22.5
164,01/07/21,56.6,22.7
165,02/07/21,57.5,22.9
166,03/07/21,58.4,23.0
167,04/07/21,58.5,23.1
168,05/07/21,59.4,23.4
169,06/07/21,60.6,23.9
170,07/07/21,62.2,24.8
171,08/07/21,63.4,25.5
172,09/07/21,64.3,26.1
173,10/07/21,65.0,26.5
174,11/07/21,65.0,26.5
175,12/07/21,65.9,27.2
176,13/07/21,66.6,27.6
177,14/07/21,67.0,28.2
178,15/07/21,67.2,28.8
179,16/07/21,67.5,29.6
180,17/07/21,68.5,30.1
181,18/07/21,68.6,30.1
182,19/07/21,69.4,30.8
183,20/07/21,70.0,31.5
184,21/07/21,70.5,31.9
185,22/07/21,71.4,32.4
186,23/07/21,72.4,32.9
187,24/07/21,72.7,33.2
188,25/07/21,72.8,33.2
189,26/07/21,73.2,33.7
190,27/07/21,73.5,34.2
191,28/07/21,73.7,34.6
192,29/07/21,73.9,35.0
193,30/07/21,74.5,35.5
194,31/07/21,74.8,35.6
195,01/08/21,74.8,35.6
196,02/08/21,75.1,36.0
197,03/08/21,75.4,36.3
198,04/08/21,76.2,36.7
199,05/08/21,76.9,37.0
200,06/08/21,77.4,37.5
201,07/08/21,77.9,37.7
202,08/08/21,77.9,37.7
203,09/08/21,78.6,38.1
204,10/08/21,79.3,38.6
205,11/08/21,80.3,39.0
206,12/08/21,81.3,39.4
207,13/08/21,82.1,39.9
208,14/08/21,82.5,40.1
209,15/08/21,82.6,40.1
210,16/08/21,83.1,40.6
211,17/08/21,83.9,41.0
212,18/08/21,84.5,41.4
213,19/08/21,85.5,42.0
214,20/08/21,86.3,42.7
215,21/08/21,86.7,42.9
216,22/08/21,86.8,42.9
217,23/08/21,87.4,43.6
218,24/08/21,88.0,44.2
219,25/08/21,88.7,44.7
220,26/08/21,89.2,45.3
221,27/08/21,89.5,46.2
222,28/08/21,89.7,46.5
223,29/08/21,89.8,46.6
224,30/08/21,90.0,47.5
225,31/08/21,90.3,48.3
226,01/09/21,90.5,49.0
227,02/09/21,90.7,49.9
228,03/09/21,90.8,50.7
229,04/09/21,90.9,51.0
230,05/09/21,90.9,51.0
231,06/09/21,91.0,51.5
232,07/09/21,91.0,51.5
233,08/09/21,91.1,52.4
234,09/09/21,91.2,53.4
235,10/09/21,91.4,54.3
236,11/09/21,91.4,54.7
237,12/09/21,91.4,54.8
238,13/09/21,91.5,55.4
239,14/09/21,91.6,56.2
240,15/09/21,91.7,56.9
241,16/09/21,91.8,57.6
242,17/09/21,91.9,58.2
243,18/09/21,92.0,58.5
244,19/09/21,92.0,58.5
245,20/09/21,92.0,58.5
246,21/09/21,92.1,59.4
247,22/09/21,92.2,60.1
248,23/09/21,92.3,60.9
249,24/09/21,92.4,61.8
250,25/09/21,92.4,62.2
251,26/09/21,92.4,62.2
252,27/09/21,92.5,63.1
253,28/09/21,92.6,64.0
254,29/09/21,92.6,64.8
255,30/09/21,92.7,65.6
256,01/10/21,92.8,66.4
257,02/10/21,92.8,66.7
258,03/10/21,92.8,66.7
259,04/10/21,92.9,67.3
260,05/10/21,92.9,68.0
261,06/10/21,93.0,68.5
262,07/10/21,93.1,69.0
263,08/10/21,93.1,69.7
264,09/10/21,93.1,70.0
265,10/10/21,93.1,70.0
266,11/10/21,93.2,70.4
267,12/10/21,93.2,70.4
268,13/10/21,93.2,71.1
269,14/10/21,93.3,71.8
270,15/10/21,93.4,72.6
271,16/10/21,93.4,73.0
272,17/10/21,93.4,73.0
273,18/10/21,93.5,73.6
274,19/10/21,93.6,74.2
275,20/10/21,93.6,74.8
276,21/10/21,93.7,75.4
277,22/10/21,93.8,75.9
278,23/10/21,93.8,76.1
279,24/10/21,93.8,76.1
280,25/10/21,93.9,76.5
281,26/10/21,93.9,76.9
282,27/10/21,94.0,77.3
283,28/10/21,94.0,77.7
284,29/10/21,94.1,78.1
285,30/10/21,94.1,78.2
286,31/10/21,94.1,78.2
287,01/11/21,94.1,78.2
288,02/11/21,94.1,78.2
